spec_no,loc_ID_num,phylum,class,ordr,family,originalGenus,genus,subgenus,originalSubgenus,originalSpecies,species,subspecies,modifiers,num_individuals,element,field_num,Associated With ,ID by,ID date,Catalogued by,Notes
300123,V17013,,,,Pectinidae,,,,,,,,,1,external mold,JPW 03-20-2012/1,,"Robins, Cristina",10-16-2017,"Idgunji, Sidhant",
300124,V17011,,,,,,Patinopecten,,,,,,,1,shell,JPW 11-03-2014/3,,"Robins, Cristina",10-16-2017,"Idgunji, Sidhant",
300125,V17018,,,,,,Patinopecten,,,,,,,1,shell,JPW 09-14-2012/1,Associated with 300126,"Robins, Cristina",10-16-2017,"Idgunji, Sidhant",
300126,V17018,,,,Pectinidae,,,,,,,,,1,shell,JPW 09-14-2012/1,Associated with 300125,"Robins, Cristina",10-16-2017,"Idgunji, Sidhant",
300127,V17013,,,,,,Patinopecten,,,,,,,1,shell,JPW 07-23-2012/4,,"Robins, Cristina",10-16-2017,"Idgunji, Sidhant",
300128,V17018,,,,Pectinidae,,,,,,,,,1,shell,JPW 07-13-2015/1,"Associated with 300129,300130","Robins, Cristina",10-16-2017,"Idgunji, Sidhant",
300129,V17018,,,,Pectinidae,,,,,,,,,1,shell,JPW 07-13-2015/1,"Associated with 300128,300130","Robins, Cristina",10-16-2017,"Idgunji, Sidhant",
300130,V17018,,,,,,Patinopecten,,,,,,,1,shell fragment,JPW 07-13-2015/1,"Associated with 300128,300129","Robins, Cristina",10-16-2017,"Idgunji, Sidhant",
300131,V17018,,,,,,Patinopecten,,,,,,,1,shell,JPW 07-13-2015/1,"Associated with 300132,300133,300134","Robins, Cristina",10-16-2017,"Idgunji, Sidhant",
300132,V17018,,,,,,Patinopecten,,,,,,,1,external mold,JPW 07-13-2015/1,"Associated with 300131,300133,300134","Robins, Cristina",10-16-2017,"Idgunji, Sidhant",
300133,V17018,,,,,,Patinopecten,,,,,,,1,internal mold,JPW 07-13-2015/1,"Associated with 300131,300132,300134","Robins, Cristina",10-16-2017,"Idgunji, Sidhant",
300134,V17018,Plantae,,,,,,,,,,,,1,wood fragment,JPW 07-13-2015/1,"Associated with 300131,300132,300133","Robins, Cristina",10-16-2017,"Idgunji, Sidhant",
300135,V17018,,,,,,Patinopecten,,,,,,,1,shell fragment,JPW 07-13-2015/1,"Associated with 300136,300137,300138","Robins, Cristina",10-16-2017,"Idgunji, Sidhant",
300136,V17018,,,,,,Patinopecten,,,,,,,1,shell,JPW 07-13-2015/1,"Associated with 300135,300137,300138","Robins, Cristina",10-16-2017,"Idgunji, Sidhant",
300137,V17018,,,,,,Patinopecten,,,,,,,1,shell,JPW 07-13-2015/1,"Associated with 300135,300136,300138","Robins, Cristina",10-16-2017,"Idgunji, Sidhant",
300138,V17018,Plantae,,,,,,,,,,,,1,wood fragment,JPW 07-13-2015/1,"Associated with 300135,300136,300137","Robins, Cristina",10-16-2017,"Idgunji, Sidhant",
300139,V17013,,,,,,Patinopecten,,,,,,,1,shell,JPW 06-16-2015/1,,"Robins, Cristina",10-18-2017,"Ross, Xena",
300140,V17013,,,,,,Patinopecten,,,,,,,1,shell,JPW 03-31-2014/1,,"Robins, Cristina",10-18-2017,"Ross, Xena",
300141,V17018,,,,Ostreidae,,,,,,,,,1,shell,JPW 02-09-2012/3,,"Robins, Cristina",10-18-2017,"Ross, Xena",
300142,V17018,,,,,,Patinopecten,,,,,,,1,shell,JPW 02-23-2012/2,"Associated with 300143, 300144, 300145","Robins, Cristina",10-18-2017,"Ross, Xena",
300143,V17018,,,,,,Patinopecten,,,,,,,1,shell,JPW 02-23-2012/2,"Associated with 300142, 300144, 300145","Robins, Cristina",10-18-2017,"Ross, Xena",
300144,V17018,,,,,,Patinopecten,,,,,,,1,shell fragment,JPW 02-23-2012/2,"Associated with 300142, 300143, 300145","Robins, Cristina",10-18-2017,"Ross, Xena",
300145,V17018,,Bivalvia,,,,,,,,,,,1,shell,JPW 02-23-2012/2,"Associated with 300142, 300143, 300145","Robins, Cristina",10-18-2017,"Ross, Xena",
300146,V17018,,,,Pectinidae,,,,,,,,,1,shell,JPW 06-15-2012/2,"Associated with 300147, 300148","Robins, Cristina",10-18-2017,"Ross, Xena",
300147,V17018,,,,,,Patinopecten,,,,,,,1,shell fragment,JPW 06-15-2012/2,"Associated with 300146, 300148","Robins, Cristina",10-18-2017,"Ross, Xena",
300148,V17018,,,,,,Patinopecten,,,,,,,1,shell fragment,JPW 06-15-2012/2,"Associated with 300146, 300147","Robins, Cristina",10-18-2017,"Ross, Xena",
300149,V17014,,,,,,Patinopecten,,,,,,,1,shell,JPW 01-22-2013/1,,"Robins, Cristina",10-18-2017,"Ross, Xena",
300150,V17013,,,,Pectinidae,,,,,,,,,1,shell,JPW 11-09-2011/2,"Associated with 300151, 300152, 300153, 300154, 300155","Robins, Cristina",10-18-2017,"Ross, Xena",
300151,V17013,,Bivalvia,,,,,,,,,,,1,shell,JPW 11-09-2011/2,"Associated with 300150, 300152, 300153, 300154, 300155","Robins, Cristina",10-18-2017,"Ross, Xena",
300152,V17013,,Bivalvia,,,,,,,,,,,1,shell,JPW 11-09-2011/2,"Associated with 300150, 300151, 300153, 300154, 300155","Robins, Cristina",10-18-2017,"Ross, Xena",
300153,V17013,,Bivalvia,,,,,,,,,,,1,external mold,JPW 11-09-2011/2,"Associated with 300150, 300151, 300152, 300154, 300155","Robins, Cristina",10-18-2017,"Ross, Xena",
300154,V17013,,Bivalvia,,,,,,,,,,,1,external mold,JPW 11-09-2011/2,"Associated with 300150, 300151, 300152, 300153, 300155","Robins, Cristina",10-18-2017,"Ross, Xena",
300155,V17013,,Bivalvia,,,,,,,,,,,1,shell,JPW 11-09-2011/2,"Associated with 300150, 300151, 300152, 300153, 300154","Robins, Cristina",10-18-2017,"Ross, Xena",
300156,V17018,,,,Pectinidae,,,,,,,,,1,shell,JPW 12-28-2011/2,"Associated with 300157, 300158, 300159","Robins, Cristina",10-18-2017,"Ross, Xena",
300157,V17018,,,,Pectinidae,,,,,,,,,1,shell fragment,JPW 12-28-2011/2,"Associated with 300156, 300158, 300159","Robins, Cristina",10-18-2017,"Ross, Xena",
300158,V17018,,Bivalvia,,,,,,,,,,,1,shell,JPW 12-28-2011/2,"Associated with 300156, 300157, 300159","Robins, Cristina",10-18-2017,"Ross, Xena",
300159,V17018,,Bivalvia,,,,,,,,,,,1,shell,JPW 12-28-2011/2,"Associated with 300156, 300157, 300158","Robins, Cristina",10-18-2017,"Ross, Xena",
300160,V17013,,,,,,Patinopecten,,,,,,,1,internal mold,JPW 10-10-2011/1D,Associated with 300161,"Robins, Cristina",10-18-2017,"Ross, Xena",
300161,V17013,Plantae,,,,,,,,,,,,1,leaf fragment,JPW 10-10-2011/1D,Associated with 300160,"Robins, Cristina",10-18-2017,"Ross, Xena",
300162,V17013,,,,Pectinidae,,,,,,,,,1,shell,JPW 10-10-2011/1C,Associated with barnacle hash,"Robins, Cristina",10-18-2017,"Ross, Xena",
300163,V17013,,,,,,Patinopecten,,,,,,,1,shell,JPW 07-29-2014/1,,"Robins, Cristina",10-18-2017,"Ross, Xena",
300164,V17018,,,,Pectinidae,,,,,,,,,1,shell,JPW 12-28-2011/4,"Associated with 300165, 300166","Robins, Cristina",10-18-2017,"Ross, Xena",
300165,V17018,,Bivalvia,,,,,,,,,,,1,shell,JPW 12-28-2011/4,"Associated with 300164, 300166","Robins, Cristina",10-18-2017,"Ross, Xena",
300166,V17018,,Bivalvia,,,,,,,,,,,1,shell,JPW 12-28-2011/4,"Associated with 300164, 300165","Robins, Cristina",10-18-2017,"Ross, Xena",Sheet says potentially seeds in the fossil? I can't tell and none were labelled.
300167,V17011,,,,,,Patinopecten,,,,,,,1,shell,JPW 08-17-2015/2B,,"Robins, Cristina",10-18-2017,"Ross, Xena",
300168,V17015,,Bivalvia,,,,,,,,,,,1,shell,JPW 06-12-2012/5,"Associated with 300169,300170,300171","Robins, Cristina",10-25-2017,"Idgunji, Sidhant",
300169,V17015,,Bivalvia,,,,,,,,,,,1,shell,JPW 06-12-2012/5,"Associated with 300168,300170,300171","Robins, Cristina",10-25-2017,"Idgunji, Sidhant",
300170,V17015,,Bivalvia,,,,,,,,,,,1,shell,JPW 06-12-2012/5,"Associated with 300168,300169,300171","Robins, Cristina",10-25-2017,"Idgunji, Sidhant",
300171,V17015,,Bivalvia,,,,,,,,,,,1,shell,JPW 06-12-2012/5,"Associated with 300168,300169,300170","Robins, Cristina",10-25-2017,"Idgunji, Sidhant",
300172,V17011,V17011,,,,,Patinopecten,,,,,,,1,shell,JPW 04-14-2014/2,"Associated with 300173, 300174","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300173,V17011,V17011,,,,,Patinopecten,,,,,,,1,shell,JPW 04-14-2014/2,"Associated with 300172, 300174","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300174,V17011,V17011,,,,,Patinopecten,,,,,,,1,shell,JPW 04-14-2014/2,"Associated with 300172, 300173","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300175,V17017,V17017,,,,,Patinopecten,,,,,,,1,shell,JPW 02-23-2012/5,"Associated with 300176, 300177, 300178, 300179, 300180, 300181","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300176,V17017,V17017,,,,,Patinopecten,,,,,,,1,shell,JPW 02-23-2012/5,"Associated with 300175, 300177, 300178, 300179, 300180, 300181","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300177,V17017,V17017,Bivalvia,,,,,,,,,,,1,shell,JPW 02-23-2012/5,"Associated with 300175, 300176, 300178, 300179, 300180, 300181","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300178,V17017,V17017,Bivalvia,,,,,,,,,,,1,shell,JPW 02-23-2012/5,"Associated with 300175, 300176, 300177, 300179, 300180, 300181","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300179,V17017,V17017,Bivalvia,,,,,,,,,,,1,shell,JPW 02-23-2012/5,"Associated with 300175, 300176, 300177, 300178, 300180, 300181","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300180,V17017,V17017,,,,,Patinopecten,,,,,,,1,shell,JPW 02-23-2012/5,"Associated with 300175, 300176, 300177, 300178, 300179, 300181","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300181,V17017,V17017,,,,,Patinopecten,,,,,,,1,shell,JPW 02-23-2012/5,"Associated with 300175, 300176, 300177, 300178, 300179, 300180","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300182,V17017,,Cirripedia,,,,,,,,,,,,external mold; internal mold,JPW 02-28-2012/6,"Associated with 300183, barnacle hash","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300183,V17017,,Mollusca,,,,,,,,,,,,external mold; internal mold,JPW 02-28-2012/6,"Associated with 300182, mollusk hash","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300184,V17017,,,,,,Patinopecten,,,,,,,1,shell,JPW 08-26-2012/1,Associated with 300185,"Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300185,V17017,,,,,,Patinopecten,,,,,,,1,shell,JPW 08-26-2012/1,Associated with 300184,"Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300186,V17018,,Bivalvia,,,,,,,,,,,1,shell,JPW 02-09-2012/11,"Associated with 300187, 300188, 300189, 300190","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300187,V17018,,,,Pectinidae,,,,,,,,,1,shell,JPW 02-09-2012/11,"Associated with 300186, 300188, 300189, 300190","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300188,V17018,,Mollusca,,,,,,,,,,,,external mold; internal mold,JPW 02-09-2012/11,"Associated with 300186, 300187, 300189, 300190, mollusk hash","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300189,V17018,,,,,,Patinopecten,,,,,,,1,shell,JPW 02-09-2012/11,"Associated with 300186, 300187, 300188, 300190","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300190,V17018,,Bivalvia,,,,,,,,,,,1,internal mold,JPW 02-09-2012/11,"Associated with 300186, 300187, 300188, 300189","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300191,V17017,,Bivalvia,,,,,,,,,,,1,shell,JPW 04-24-2012/4,"Associated with 300192, 300193, 300194, 300195, 300196","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300192,V17017,,Bivalvia,,,,,,,,,,,1,shell,JPW 04-24-2012/4,"Associated with 300191, 300193, 300194, 300195, 300196","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300193,V17017,,Bivalvia,,,,,,,,,,,1,shell,JPW 04-24-2012/4,"Associated with 300191, 300192, 300194, 300195, 300196","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300194,V17017,,Bivalvia,,,,,,,,,,,1,shell,JPW 04-24-2012/4,"Associated with 300191, 300192, 300193, 300195, 300196","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300195,V17017,,Gastropoda,,,,,,,,,,,1,shell,JPW 04-24-2012/4,"Associated with 300191, 300192, 300193, 300194, 300196","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300196,V17017,,Bivalvia,,,,,,,,,,,1,shell,JPW 04-24-2012/4,"Associated with 300191, 300192, 300193, 300194, 300195","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300197,V17013,,Bivalvia,,,,,,,,,,,1,internal mold,JPW 10-21-2014/3,"Associated with 300198, 300199, 300200, 300201, 300202, 300203, 300204, 300205, 300206","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300198,V17013,,Bivalvia,,,,,,,,,,,1,internal mold,JPW 10-21-2014/3,"Associated with 300197, 300199, 300200, 300201, 300202, 300203, 300204, 300205, 300206","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300199,V17013,,Bivalvia,,,,,,,,,,,1,external mold,JPW 10-21-2014/3,"Associated with 300197, 300198, 300200, 300201, 300202, 300203, 300204, 300205, 300206","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300200,V17013,,Bivalvia,,,,,,,,,,,1,external mold,JPW 10-21-2014/3,"Associated with 300197, 300198, 300199, 300201, 300202, 300203, 300204, 300205, 300206","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300201,V17013,,Bivalvia,,,,,,,,,,,1,internal mold,JPW 10-21-2014/3,"Associated with 300197, 300198, 300199, 300200, 300202, 300203, 300204, 300205, 300206","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300202,V17013,,Bivalvia,,,,,,,,,,,1,external mold,JPW 10-21-2014/3,"Associated with 300197, 300198, 300199, 300200, 300201, 300203, 300204, 300205, 300206","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300203,V17013,,Bivalvia,,,,,,,,,,,1,external mold,JPW 10-21-2014/3,"Associated with 300197, 300198, 300199, 300200, 300201, 300202, 300204, 300205, 300206","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300204,V17013,,Bivalvia,,,,,,,,,,,1,internal mold,JPW 10-21-2014/3,"Associated with 300197, 300198, 300199, 300200, 300201, 300202, 300203, 300205, 300206","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300205,V17013,,Bivalvia,,,,,,,,,,,1,internal mold,JPW 10-21-2014/3,"Associated with 300197, 300198, 300199, 300200, 300201, 300202, 300203, 300204, 300206","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300206,V17013,,Bivalvia,,,,,,,,,,,1,internal mold,JPW 10-21-2014/3,"Associated with 300197, 300198, 300199, 300200, 300201, 300202, 300203, 300204, 300205","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300207,V17013,,Bivalvia,,,,,,,,,,,1,shell,JPW 03-04-2014/1,,"Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300208,V17018,,Bivalvia,,,,,,,,,,,1,shell,JPW 07-13-2015/2,"Associated with 300209, 300210, 300211, 300212, 300213, 300214","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",Plant labelling required
300209,V17018,,Bivalvia,,,,,,,,,,,1,shell,JPW 07-13-2015/2,"Associated with 300208, 300210, 300211, 300212, 300213, 300214","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",Plant labelling required
300210,V17018,,Bivalvia,,,,,,,,,,,1,shell,JPW 07-13-2015/2,"Associated with 300208, 300209, 300211, 300212, 300213, 300214","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300211,V17018,,Bivalvia,,,,,,,,,,,1,shell,JPW 07-13-2015/2,"Associated with 300208, 300209, 300210, 300212, 300213, 300214","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300212,V17018,,Bivalvia,,,,,,,,,,,1,shell,JPW 07-13-2015/2,"Associated with 300208, 300209, 300210, 300211, 300213, 300214","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300213,V17018,,Bivalvia,,,,,,,,,,,1,shell,JPW 07-13-2015/2,"Associated with 300208, 300209, 300210, 300211, 300212, 300214","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300214,V17013 (not on locality list) ,,,,,,Patinopecten,,,,,,,1,shell,JPW 06-02-2013/1,"Associated with 300215, 300216, 300217, 300218, 300219, 300220, 300221","Robins, Cristina",10-27-2017,"Dangsangtong, Peter","NOT ON INVENTORY LIST, Possibly 06-02-2014/1"
300215,V17013 (not on locality list) ,,Bivalvia,,,,,,,,,,,1,shell,JPW 06-02-2013/1,"Associated with 300214, 300216, 300217, 300218, 300219, 300220, 300221","Robins, Cristina",10-27-2017,"Dangsangtong, Peter","NOT ON INVENTORY LIST, Possibly 06-02-2014/1"
300216,V17013 (not on locality list) ,,Bivalvia,,,,,,,,,,,1,shell,JPW 06-02-2013/1,"Associated with 300214, 300215, 300217, 300218, 300219, 300220, 300221","Robins, Cristina",10-27-2017,"Dangsangtong, Peter","NOT ON INVENTORY LIST, Possibly 06-02-2014/1"
300217,V17013 (not on locality list) ,,Bivalvia,,,,,,,,,,,1,shell,JPW 06-02-2013/1,"Associated with 300214, 300215, 300216, 300218, 300219, 300220, 300221","Robins, Cristina",10-27-2017,"Dangsangtong, Peter","NOT ON INVENTORY LIST, Possibly 06-02-2014/1"
300218,V17013 (not on locality list) ,,Bivalvia,,,,,,,,,,,1,shell,JPW 06-02-2013/1,"Associated with 300214, 300215, 300216, 300217, 300219, 300220, 300221","Robins, Cristina",10-27-2017,"Dangsangtong, Peter","NOT ON INVENTORY LIST, Possibly 06-02-2014/1"
300219,V17013 (not on locality list) ,,Bivalvia,,,,,,,,,,,1,shell,JPW 06-02-2013/1,"Associated with 300214, 300215, 300216, 300217, 300218, 300220, 300221","Robins, Cristina",10-27-2017,"Dangsangtong, Peter","NOT ON INVENTORY LIST, Possibly 06-02-2014/1"
300220,V17013 (not on locality list) ,,Bivalvia,,,,,,,,,,,1,external mold,JPW 06-02-2013/1,"Associated with 300214, 300215, 300216, 300217, 300218, 300219, 300221","Robins, Cristina",10-27-2017,"Dangsangtong, Peter","NOT ON INVENTORY LIST, Possibly 06-02-2014/1"
300221,V17013 (not on locality list) ,,Bivalvia,,,,,,,,,,,1,internal mold,JPW 06-02-2013/1,"Associated with 300214, 300215, 300216, 300217, 300218, 300219, 300220","Robins, Cristina",10-27-2017,"Dangsangtong, Peter","NOT ON INVENTORY LIST, Possibly 06-02-2014/1"
300222,V17011,,Bivalvia,,,,,,,,,,,1,shell,JPW 03-03-2015/1,,"Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300223,V17011,,,,,,Patinopecten,,,,,,,1,shell,JPW 11-30-2011/1,,"Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300224,V17013,,,,,,Patinopecten,,,,,,,1,shell,JPW 04-18-2013/1,Associated with 300225,"Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300225,V17013,,,,,,,,,,,,,,Pectinidae hash,JPW 04-18-2013/1,"Associated with 300224, poorly preserved plant material","Robins, Cristina",10-27-2017,"Dangsangtong, Peter",
300226,V17013,,Mollusca,,,,,,,,,,,,external mold; internal mold,JPW 01-09-2012/5,"Associated with 300227, 300228, 300229, 300230, 300231, 300232, 300233","Robins, Cristina",10-30-2017,"Dangsangtong, Peter",
300227,V17013,,Mollusca,,,,,,,,,,,,external mold; internal mold,JPW 01-09-2012/5,"Associated with 300226, 300228, 300229, 300230, 300231, 300232, 300233","Robins, Cristina",10-30-2017,"Dangsangtong, Peter",
300228,V17013,,Mollusca,,,,,,,,,,,,external mold; internal mold,JPW 01-09-2012/5,"Associated with 300226, 300227, 300229, 300230, 300231, 300232, 300233","Robins, Cristina",10-30-2017,"Dangsangtong, Peter",
300229,V17013,,Mollusca,,,,,,,,,,,,external mold; internal mold,JPW 01-09-2012/5,"Associated with 300226, 300227, 300228, 300230, 300231, 300232, 300233","Robins, Cristina",10-30-2017,"Dangsangtong, Peter",
300230,V17013,,Mollusca,,,,,,,,,,,,external mold; internal mold,JPW 01-09-2012/5,"Associated with 300226, 300227, 300228, 300229, 300231, 300232, 300233","Robins, Cristina",10-30-2017,"Dangsangtong, Peter",
300231,V17013,,Mollusca,,,,,,,,,,,,external mold; internal mold,JPW 01-09-2012/5,"Associated with 300226, 300227, 300228, 300229, 300230, 300232, 300233","Robins, Cristina",10-30-2017,"Dangsangtong, Peter",
300232,V17013,,Mollusca,,,,,,,,,,,,external mold; internal mold,JPW 01-09-2012/5,"Associated with 300226, 300227, 300228, 300229, 300230, 300231, 300233","Robins, Cristina",10-30-2017,"Dangsangtong, Peter",
300233,V17013,,Mollusca,,,,,,,,,,,,external mold; internal mold,JPW 01-09-2012/5,"Associated with 300226, 300227, 300228, 300229, 300230, 300231, 300232","Robins, Cristina",10-30-2017,"Dangsangtong, Peter",
300234,V17015,,Bivalvia,,,,,,,,,,,1,internal mold,JPW 06-12-2012/3,Associated with 300235,"Robins, Cristina",10-30-2017,"Dangsangtong, Peter",
300235,V17015,,Bivalvia,,,,,,,,,,,1,external mold,JPW 06-12-2012/3,Associated with 300234,"Robins, Cristina",10-30-2017,"Dangsangtong, Peter",
300236,V17009,,Bivalvia,,,,,,,,,,,1,external mold,JPW 11-12-2013/3,"Associated with 300237, 300238, 300239","Robins, Cristina",10-30-2017,"Dangsangtong, Peter",
300237,V17009,,Bivalvia,,,,,,,,,,,1,internal mold,JPW 11-12-2013/3,"Associated with 300236, 300238, 300239","Robins, Cristina",10-30-2017,"Dangsangtong, Peter",
300238,V17009,,Bivalvia,,,,,,,,,,,1,internal mold,JPW 11-12-2013/3,"Associated with 300236, 300237, 300239","Robins, Cristina",10-30-2017,"Dangsangtong, Peter",
300239,V17009,,,,Arcidae,,,,,,,,,1,internal mold,JPW 11-12-2013/3,"Associated with 300236, 300237, 300238","Robins, Cristina",10-30-2017,"Dangsangtong, Peter",
300240,V17018,,,,,,Patinopecten,,,,,,,1,shell,JPW 03-27-2012/2,"Associated with 300241, 300242, 300243, 300244,  Poorly preserved plant material noted","Robins, Cristina",10-30-2017,"Dangsangtong, Peter",
300241,V17018,,Gastropoda,,,,,,,,,,,1,shell,JPW 03-27-2012/2,"Associated with 300240, 300242, 300243, 300244, Poorly preserved plant material noted","Robins, Cristina",10-30-2017,"Dangsangtong, Peter",
300242,V17018,,,,Arcidae,,,,,,,,,1,internal mold,JPW 03-27-2012/2,"Associated with 300240, 300241, 300243, 300244, Poorly preserved plant material noted","Robins, Cristina",10-30-2017,"Dangsangtong, Peter",
300243,V17018,,,,Arcidae,,,,,,,,,1,internal mold,JPW 03-27-2012/2,"Associated with 300240, 300241, 300242, 300244, Poorly preserved plant material noted","Robins, Cristina",10-30-2017,"Dangsangtong, Peter",
300244,V17018,,,,Arcidae,,,,,,,,,1,internal mold,JPW 03-27-2012/2,"Associated with 300240, 300241, 300242, 300243, Poorly preserved plant material noted","Robins, Cristina",10-30-2017,"Dangsangtong, Peter",
